Total Power,GPU,Time
6250,20.6,0.0
6250,0.0,1.026862
5900,0.0,2.183096
5900,0.0,3.322701
5900,0.0,4.391427
5745,0.0,5.465528
5900,0.0,6.521881
5745,0.0,7.438495
5900,0.0,8.581091
5745,0.0,9.585965
6095,0.0,10.606281
6250,0.0,11.709717
6250,0.0,12.795057
6250,0.0,13.897431
6210,0.0,14.963804
6095,0.0,15.919815
6095,0.0,16.843657
6250,6.2,17.823679
6250,18.3,18.949187
6446,30.8,19.95311
6250,4.0,21.092956
6446,15.3,22.215205
6250,12.6,23.33243
6250,0.0,24.406312
6250,0.0,25.477654
6250,5.7,26.562321
6095,12.3,27.613413
6095,0.0,28.677429
6095,0.0,29.675821
6642,47.8,30.777688
6290,8.8,31.835187
6096,0.0,32.76207
5900,0.0,33.693796
5901,0.0,34.674903
6291,0.0,35.702296
5940,0.0,36.698801
5940,0.0,37.660371
5940,0.0,38.637746
5940,0.0,39.700658
5940,0.0,40.693724
6406,28.2,41.834502
5940,0.0,43.031696
6406,45.0,44.155529
5940,28.6,45.254213
5901,0.0,46.477389
5901,0.0,47.564731
5901,9.5,48.633188
5745,0.0,49.745838
5901,0.0,50.825491
