Total Power,GPU,Time
5786,0.0,2.124447
5786,0.0,2.124843
5786,0.0,2.125266
5786,0.0,2.125686
5786,0.0,2.126019
5786,0.0,2.126386
5786,0.0,2.126768
5786,0.0,2.127127
5786,0.0,2.131568
5786,0.0,2.132038
5786,0.0,2.132511
5786,0.0,2.133092
5786,0.0,2.133464
5786,0.0,2.133826
5786,0.0,2.134184
5786,0.0,2.134567
5786,0.0,2.134897
5786,0.0,2.135226
5786,0.0,2.135824
5786,0.0,2.136221
5786,0.0,2.136548
5786,0.0,2.137026
5786,0.0,2.137451
5786,0.0,2.137814
5786,0.0,2.138195
5786,0.0,2.138571
5786,0.0,2.138935
5786,0.0,2.139364
5786,0.0,2.13975
5786,0.0,2.14012
5786,0.0,2.140551
5786,0.0,2.140873
5786,0.0,2.141412
5786,0.0,2.141736
5786,0.0,2.142049
5786,0.0,2.142762
5786,0.0,2.143134
5786,0.0,2.143529
5786,0.0,2.143849
5786,0.0,2.144173
5786,0.0,2.144545
5786,0.0,2.144875
5786,0.0,2.145217
5786,0.0,2.145536
5786,0.0,2.145876
5786,0.0,2.153264
5786,0.0,2.153677
5786,0.0,2.154022
5786,0.0,2.15439
5786,0.0,2.154843
5786,0.0,2.155352
5786,0.0,2.155687
5786,0.0,2.156066
5786,0.0,2.156416
5786,0.0,2.156731
5786,0.0,2.157052
5786,0.0,2.157386
5786,0.0,2.157704
5786,0.0,2.15951
5786,0.0,2.160244
5786,0.0,2.160746
5786,0.0,2.161208
5786,0.0,2.161648
5786,0.0,2.162042
5786,0.0,2.162502
5786,0.0,2.163148
5786,0.0,2.163643
5786,0.0,2.16403
5786,0.0,2.164477
5786,0.0,2.164876
5786,0.0,2.165277
5786,0.0,2.165674
5786,0.0,2.166078
5786,0.0,2.166485
5786,0.0,2.166863
5786,0.0,2.174783
5786,0.0,2.175604
5786,0.0,2.175999
5786,0.0,2.176356
5786,0.0,2.176717
5786,0.0,2.178205
5786,0.0,2.178646
5786,0.0,2.178998
5786,0.0,2.184821
5786,0.0,2.187182
5786,0.0,2.187673
5786,0.0,2.188085
5786,0.0,2.191144
5786,0.0,2.201051
5786,0.0,2.202558
5786,0.0,2.202905
5786,0.0,2.203236
5786,0.0,2.211926
5786,0.0,2.212321
5786,0.0,2.213173
5786,0.0,2.213583
5786,0.0,2.213968
5786,0.0,2.214284
5786,0.0,2.214597
5786,0.0,2.21496
5786,0.0,2.215506
5786,0.0,2.215844
5786,0.0,2.216158
5786,0.0,2.216466
5786,0.0,2.216776
5786,0.0,2.217138
5786,0.0,2.217541
5786,0.0,2.218467
5786,0.0,2.218808
5786,0.0,2.219166
5786,0.0,2.219914
5786,0.0,2.220233
5786,0.0,2.220592
5786,0.0,2.220953
5786,0.0,2.221342
5786,0.0,2.221689
5786,0.0,2.222018
5786,0.0,2.222341
5786,0.0,2.222669
5786,0.0,2.22305
5786,0.0,2.223507
5786,0.0,2.223836
5786,0.0,2.224141
5786,0.0,2.224452
5786,0.0,2.224803
5786,0.0,2.225119
5786,0.0,2.225435
5786,0.0,2.225923
5786,0.0,2.226249
5786,0.0,2.226603
5786,0.0,2.226939
5786,0.0,2.227248
5786,0.0,2.227616
5786,0.0,2.227934
5786,0.0,2.228237
5786,0.0,2.228595
5786,0.0,2.228897
5786,0.0,2.229262
5786,0.0,2.229733
5786,0.0,2.230236
5786,0.0,2.230769
5786,0.0,2.231225
5786,0.0,2.231662
5786,0.0,2.231976
5786,0.0,2.233509
5786,0.0,2.233851
5786,0.0,2.234156
5786,0.0,2.234476
5786,0.0,2.234807
5786,0.0,2.235123
5786,0.0,2.235594
5786,0.0,2.242517
5786,0.0,2.242956
5786,0.0,2.243388
5786,0.0,2.243722
5786,0.0,2.244049
5786,0.0,2.244379
5786,0.0,2.244687
5786,0.0,2.244996
5786,0.0,2.245319
5786,0.0,2.245628
5786,0.0,2.245936
5786,0.0,2.246833
5786,0.0,2.247153
5786,0.0,2.247563
